2021-07-23 13:49:21 status unpacked libncursesw5:amd64 6.1-1ubuntu1
2021-07-23 13:49:21 install libpam-modules:amd64 <none> 1.1.8-3.6ubuntu2
2021-07-23 13:49:21 status half-installed libpam-modules:amd64 1.1.8-3.6ubuntu2
2021-07-23 13:49:22 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2
2021-07-23 13:49:22 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2
2021-07-23 13:49:22 install libpam-modules-bin:amd64 <none> 1.1.8-3.6ubuntu2
2021-07-23 13:49:22 status half-installed libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2021-07-23 13:49:22 status unpacked libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2021-07-23 13:49:22 status unpacked libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2021-07-23 13:49:22 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
2021-07-23 13:49:22 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2021-07-23 13:49:22 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2021-07-23 13:49:22 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2021-07-23 13:49:22 install libpam0g:amd64 <none> 1.1.8-3.6ubuntu2
2021-07-23 13:49:22 status half-installed libpam0g:amd64 1.1.8-3.6ubuntu2
2021-07-23 13:49:22 status unpacked libpam0g:amd64 1.1.8-3.6ubuntu2
2021-07-23 13:49:22 status unpacked libpam0g:amd64 1.1.8-3.6ubuntu2
2021-07-23 13:49:22 install libpcre3:amd64 <none> 2:8.39-9
2021-07-23 13:49:22 status half-installed libpcre3:amd64 2:8.39-9
2021-07-23 13:49:22 status unpacked libpcre3:amd64 2:8.39-9
2021-07-23 13:49:22 status unpacked libpcre3:amd64 2:8.39-9
2021-07-23 13:49:22 install libprocps6:amd64 <none> 2:3.3.12-3ubuntu1
2021-07-23 13:49:22 status half-installed libprocps6:amd64 2:3.3.12-3ubuntu1
2021-07-23 13:49:22 status unpacked libprocps6:amd64 2:3.3.12-3ubuntu1
2021-07-23 13:49:22 status unpacked libprocps6:amd64 2:3.3.12-3ubuntu1
2021-07-23 13:49:22 install libselinux1:amd64 <none> 2.7-2build2
2021-07-23 13:49:22 status half-installed libselinux1:amd64 2.7-2build2
2021-07-23 13:49:22 status unpacked libselinux1:amd64 2.7-2build2
2021-07-23 13:49:22 status unpacked libselinux1:amd64 2.7-2build2
2021-07-23 13:49:22 install libsemanage-common:all <none> 2.7-2build2
2021-07-23 13:49:22 status half-installed libsemanage-common:all 2.7-2build2
2021-07-23 13:49:22 status unpacked libsemanage-common:all 2.7-2build2
2021-07-23 13:49:22 status unpacked libsemanage-common:all 2.7-2build2
2021-07-23 13:49:22 install libsemanage1:amd64 <none> 2.7-2build2
2021-07-23 13:49:22 status half-installed libsemanage1:amd64 2.7-2build2
2021-07-23 13:49:22 status unpacked libsemanage1:amd64 2.7-2build2
2021-07-23 13:49:22 status unpacked libsemanage1:amd64 2.7-2build2
2021-07-23 13:49:22 install libsepol1:amd64 <none> 2.7-1
2021-07-23 13:49:22 status half-installed libsepol1:amd64 2.7-1
2021-07-23 13:49:22 status unpacked libsepol1:amd64 2.7-1
2021-07-23 13:49:22 status unpacked libsepol1:amd64 2.7-1
2021-07-23 13:49:22 install libsmartcols1:amd64 <none> 2.31.1-0.4ubuntu3
2021-07-23 13:49:22 status half-installed libsmartcols1:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:22 status unpacked libsmartcols1:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:22 status unpacked libsmartcols1:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:22 install libss2:amd64 <none> 1.44.1-1
2021-07-23 13:49:22 status half-installed libss2:amd64 1.44.1-1
2021-07-23 13:49:22 status unpacked libss2:amd64 1.44.1-1
2021-07-23 13:49:22 status unpacked libss2:amd64 1.44.1-1
2021-07-23 13:49:22 install libsystemd0:amd64 <none> 237-3ubuntu10
2021-07-23 13:49:22 status half-installed libsystemd0:amd64 237-3ubuntu10
2021-07-23 13:49:22 status unpacked libsystemd0:amd64 237-3ubuntu10
2021-07-23 13:49:22 status unpacked libsystemd0:amd64 237-3ubuntu10
2021-07-23 13:49:22 install libtinfo5:amd64 <none> 6.1-1ubuntu1
2021-07-23 13:49:22 status half-installed libtinfo5:amd64 6.1-1ubuntu1
2021-07-23 13:49:22 status unpacked libtinfo5:amd64 6.1-1ubuntu1
2021-07-23 13:49:22 status unpacked libtinfo5:amd64 6.1-1ubuntu1
2021-07-23 13:49:22 install libudev1:amd64 <none> 237-3ubuntu10
2021-07-23 13:49:22 status half-installed libudev1:amd64 237-3ubuntu10
2021-07-23 13:49:22 status unpacked libudev1:amd64 237-3ubuntu10
2021-07-23 13:49:22 status unpacked libudev1:amd64 237-3ubuntu10
2021-07-23 13:49:22 install libuuid1:amd64 <none> 2.31.1-0.4ubuntu3
2021-07-23 13:49:22 status half-installed libuuid1:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:22 status unpacked libuuid1:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:22 status unpacked libuuid1:amd64 2.31.1-0.4ubuntu3
2021-07-23 13:49:22 install libzstd1:amd64 <none> 1.3.3+dfsg-2ubuntu1
2021-07-23 13:49:22 status half-installed libzstd1:amd64 1.3.3+dfsg-2ubuntu1
2021-07-23 13:49:22 status unpacked libzstd1:amd64 1.3.3+dfsg-2ubuntu1
2021-07-23 13:49:22 status unpacked libzstd1:amd64 1.3.3+dfsg-2ubuntu1
2021-07-23 13:49:22 install login:amd64 <none> 1:4.5-1ubuntu1
2021-07-23 13:49:22 status half-installed login:amd64 1:4.5-1ubuntu1
2021-07-23 13:49:22 status unpacked login:amd64 1:4.5-1ubuntu1
2021-07-23 13:49:22 status unpacked login:amd64 1:4.5-1ubuntu1
2021-07-23 13:49:22 install lsb-base:all <none> 9.20170808ubuntu1
2021-07-23 13:49:22 status half-installed lsb-base:all 9.20170808ubuntu1
